Tên tác giả,Tên sách,STT,Trích dẫn
Lý Thượng Long,Đại Học Không Lạc Hướng,11,"“Người hiểu mình thì không cần giải thích quá nhiều, người không hiểu mình, giải thích giống như che giấu, không cần thiết giải thích.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,12,"“Chúng ta đều phải học cách không phân trần biện giải, bởi dù sao chúng ta không có trách nhiệm và nghĩa vụ bỏ thời gian quý báu của mình vào việc thay đổi tư tưởng của người khác, lo lắng hộ cho người khác.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,13,"“Chỉ có sự trao đổi công bằng mới có được tình cảm ngang bằng. Trước khi chúng ta trở nên ưu tú, mọi sự xã giao đều là xã giao vô hiệu.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,14,"“Nhà côn trùng học người Nga Lyubishchev từng nói: ‘Thứ quý giá nhất của con người là sinh mệnh. Nhưng phân tích kĩ sinh mệnh, có thể nói thứ quý giá nhất chính là thời gian. Bởi vì sinh mệnh được cấu thành từ thời gian, sinh mệnh được tích lũy từ từng giây, từng phút, từng giờ.’”"
Lý Thượng Long,Đại Học Không Lạc Hướng,15,“Socrates: ‘Cuộc đời không có gì để nhìn lại không phải là một cuộc đời đáng sống.’”
Lý Thượng Long,Đại Học Không Lạc Hướng,16,"“Con người ngày càng trưởng thành thì càng ít có thời gian cho riêng mình, nhưng chỉ khi có thời gian ở một mình thì con người mới có ý thức nhìn nhận lại bản thân, mọi việc vĩ đại trên thế giới này hầu hết đều đến từ cảm hứng mà con người có được khi ở một mình.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,17,"“Có người than thở trạng thái của mình không tốt, nhưng không biết thế nào mới là một trạng thái tốt, thế nào mới là trạng thái tồi tệ.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,18,"“Chúng ta không thể hiểu được tại sao mỗi ngày cùng có 24 giờ đồng hồ, có những người làm được nhiều việc như vậy mà vẫn tràn đầy sức sống, còn có những người không làm gì nhưng hết sức bơ phờ, mệt mỏi.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,19,“Ý chí thực ra là cảm giác có ý nghĩa của một người đối với một sự việc nào đó.”
Lý Thượng Long,Đại Học Không Lạc Hướng,20,"“Tinh lực chẳng qua chỉ là sự tổ hợp của bốn thứ: thể lực, tình cảm, tư tưởng và ý chí.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,21,"“Thể lực - tầng lớp thấp nhất của tinh lực, nếu thể lực có vấn đề thì tinh lực không bao giờ có thể tốt được.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,22,“Phương thức nâng cao tinh lực chủ yếu là ngủ đủ giấc và rèn luyện sức khỏe một cách có quy củ.”
Lý Thượng Long,Đại Học Không Lạc Hướng,23,"“Âm nhạc giống như vitamin, một ca khúc hay, giai điệu tươi vui có thể khiến tinh thần con người trở nên sảng khoái, vui vẻ, cho dù là một bản tình ca khiến mình phải khóc một trận cũng làm cho bạn dễ chịu hơn cố kìm nén trong lòng nhiều.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,24,"“Kiếm tiền có thể nâng cao mức độ hạnh phúc của con người ở một mức độ nhất định, nhưng công việc và cuộc sống vô nghĩa thì dù có kiếm được bao nhiêu tiền cũng vẫn khiến người ta cảm thấy chán nản mệt mỏi.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,25,"“Khi được sống một cuộc sống và làm công việc mà bản thân cảm thấy có ý nghĩa thì bạn sẽ phát hiện ra cho dù không có nhiều tiền, cho dù có lúc mệt mỏi, nhưng trong lòng vẫn cuộn trào nhiệt huyết và hi vọng.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,26,"“Năng lượng tích cực có tính lây truyền, tương tư, năng lượng tiêu cực cũng có thể lây truyền cho nhau.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,27,“Chúng ta rất khó kiểm soát cảm xúc của người khác nhưng chúng ta hoàn toàn có thể lựa chọn bạn bè và kiểm soát cảm xúc của bản thân.”
Lý Thượng Long,Đại Học Không Lạc Hướng,28,"“Kì thực sách không thể thay đổi vận mệnh, chỉ khi biến tri thức trong sách thành hành động mới có thể thay đổi vận mệnh.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,29,"“Chúng ta lúc nào cũng thích nhấn mạnh vào việc có tác dụng, có ích, nói đúng ra thì ẩn ý của người nói là thứ này có đổi thành tiền được không. Nhưng cuộc sống đâu chỉ cần có ích, có tác dụng, mà còn cần thú vị, còn cần gu, còn cần có mơ ước.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,30,"“Không thể việc gì cũng hỏi có ích không, có tác dụng gì không, ai cũng biết rằng con người sinh ra, lớn lên, rồi cũng đều có kết thúc, thế thì sống có ích gì không?”"
Lý Thượng Long,Đại Học Không Lạc Hướng,31,“Kĩ năng = phương pháp đúng + luyện tập có chủ ý + nổ lực không ngừng nghỉ.”
Lý Thượng Long,Đại Học Không Lạc Hướng,32,“Phải biết rằng trên đời này không có thuốc cứu vãn sự hối hận.”
Lý Thượng Long,Đại Học Không Lạc Hướng,33,"“Thành tựu trong quá khứ thường đã là quá khứ, thất bại trong quá khứ cũng chỉ đại diện cho lịch sử.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,34,"“Kiên trì một thói quen tốt không dễ, còn từ bỏ thì lại quá đơn giản.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,35,"“Mục tiêu không chi tiết cụ thể, không khả thi thì nhiều nhất chỉ là khẩu hiệu. Khẩu hiệu chỉ có thể khiến con người trở nên nhiệt huyết lúc bắt đầu, sau khoảng thời gian nhiệt huyết ngắn ngủi lại trở về trạng thái vốn có của mình.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,36,“Thế giới này sở dĩ thú vị như vậy chính là vì có những người tính cách khác nhau.”
Lý Thượng Long,Đại Học Không Lạc Hướng,37,“Để cho người sở trường lĩnh vực nào làm việc liên quan tới lĩnh vực đó chính là phương thức vận hành hiệu quả nhất của thế giới này.”
Lý Thượng Long,Đại Học Không Lạc Hướng,38,"“Mạng lưới quan hệ có giá trị không phải là bạn quen biết ai, mà là ai quen biết bạn; không phải là bạn gửi lời mời kết bạn với ai, mà là ai gửi lời mời kết bạn với bạn trên mạng xã hội.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,39,“Mạng lưới quan hệ có giá trị được nhìn từ chất lượng chứ không phải số lượng.”
Lý Thượng Long,Đại Học Không Lạc Hướng,40,"“Chỉ có sự trao đổi công bằng mới có được tình bạn ngang bằng. Sự trao đổi này không nhất định phải là tiền bạc, có thể là sở trường của bạn, năng lực của bạn.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,41,"“Hòa đồng không sai nhưng phải hòa đồng vào tập thể nên hòa đồng, hòa đồng vào tập thể thuộc về mình.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,42,“Giao tiếp là phương thức quan trọng làm thăng hoa tình cảm giữa con người với con người.”
Lý Thượng Long,Đại Học Không Lạc Hướng,43,"“Có những người, cả đời đều một mình bước đi trong cô độc.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,44,“Chúng ta dù ít nhiều đều sẽ có cảm nhận rằng cùng trưởng thành càng cô đơn.”
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",45,"“Không bị kích động bởi những thứ bên ngoài đó chính là tĩnh, không bị lấp đầy bởi những thực tế bên ngoài đó chính là hư.”"
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",46,"“Chúng ta thường không làm được việc này việc kia, chính là vì chúng ta không muốn buông bỏ một thứ gì hết.”"
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",47,"William Shakespeare từng nói: “Người thông minh sẽ chẳng bao giờ ngồi đó mà đau buồn than thở vì tổn thất của mình, họ sẽ nghĩ cách để bù đắp lại tổn thất.”"
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",48,"“Ý nghĩa của cuộc sống không nằm ở việc nhấc lên, mà là ở việc buông bỏ.”"
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",49,“Hạnh phúc nằm ở giữa việc nhấc lên hay buông bỏ.”
Tống Mặc,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",50,"Người biết ‘‘buông bỏ’’, mới là người thật sự hiểu được cuộc sống."
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,51,"“Tự kiểm soát là khả năng làm chủ hành vi, tình cảm, dục vọng của bản thân, qua đó thể hiện sự trưởng thành của mỗi cá nhân.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,52,"“Nếu có phẩm chất tốt, thói quen tốt, ý chí kiên cường, sẽ không bị thứ gọi là số mệnh đánh bại.” – Benjamin Franklin."
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,53,“Khả năng tự kiểm soát là vô lăng của số mệnh.”
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,54,"“Thắng được người là kẻ có sức lực, thắng được mình là kẻ mạnh mẽ.” – Lão Tử."
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,55,"“Kẻ biết người là người khôn, kẻ biết mình là người sáng suốt.” – Lão Tử."
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,56,"“Nếu chúng ta muốn đi trên con đường thành công, việc đầu tiên phải làm là củng cố sự tự chủ.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,57,"“Trời muốn truyền cho ta sứ mệnh trọng đại, nhưng trước tiên người bắt ta phải nếm trải sự đắng khổ của tâm can, gân cốt cực nhọc, thân thể đói gầy.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,58,"“Giáo sư Martin Seligman: Nếu không có tinh thần kiên nhẫn bền bỉ, trừ khi bạn là thiên tài, bằng không sẽ không thể chiến thắng.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,59,"“Tinh thần kiên nhẫn bền bỉ không phải sinh ra đã có, cũng không thể đổi lấy bằng những tưởng tượng viễn vông hay lời nói sáo rỗng.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,60,"“Tự kiểm soát có nghĩa là vượt qua dục vọng của chính mình, chống lại những cám dỗ xung quanh.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,61,“Chỉ những người có thể tự kiểm soát bản thân mới nâng cao được cảm giác hạnh phúc.”
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,62,"“Người có khả năng tự kiểm soát mạnh mẽ thường sẽ biết điều khiển bản thân, còn người không giỏi tự kiểm soát sẽ sống không có quy luật.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,63,"“Khi khả năng tự kiểm soát không đủ mạnh mẽ, bạn sẽ phải đầu hàng trước thói xấu.”"
Hàn Xuân Trạch,Không Phải Chưa Đủ Năng Lực Mà Là Chưa Đủ Kiên Định,64,"“Con người thường nghĩ mình có thể khống chế được suy nghĩ của bản thân, nhưng trên thực tế, họ không thể làm việc đó một cách trọn vẹn.”"
Viktor Frankl,Đi Tìm Lẽ Sống,65,"""Ít người chết vì thiếu thức ăn và thuốc men, mà phần lớn họ chết vì thiếu hy vọng, thiếu một lẽ sống."""
Viktor Frankl,Đi Tìm Lẽ Sống,66,"""Đau khổ tự bản thân nó không có ý nghĩa gì cả, chính các phản ứng của chúng ta mới khoác lên cho chúng ý nghĩa."""
Viktor Frankl,Đi Tìm Lẽ Sống,67,"""Bạn không thể kiểm soát điều gì sẽ xảy ra trong đời mình nhưng bạn luôn có thể kiểm soát cách đón nhận cũng như cách bạn phản ứng trước mọi tình huống trong cuộc sống."""
Viktor Frankl,Đi Tìm Lẽ Sống,68,"""Điều gì mà không đánh gục được ta sẽ khiến ta mạnh mẽ hơn."""
Viktor Frankl,Đi Tìm Lẽ Sống,69,"""Người nào có lí do để sống thì có thể tồn tại trong mọi nghịch cảnh."""
Viktor Frankl,Đi Tìm Lẽ Sống,70,"""Càng sợ hãi thì những gì chúng ta lo sợ càng nhanh chóng trở thành hiện thực."""
Viktor Frankl,Đi Tìm Lẽ Sống,71,"""Mong muốn là cha của ý nghĩ, sợ hãi là mẹ của hiện thực."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,72,"""Đọc sách là cách chúng ta đối diện những điều chưa từng nhìn thấy bên trong chính mình."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,73,"""Đã là phụ nữ không xinh đẹp thì phải thông minh, không thông minh thì phải xinh đẹp chứ đã xấu mà còn ngu thì..."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,74,"""Phụ nữ xinh đẹp khiến đàn ông dừng chân, phụ nữ thông minh khiến đàn ông lưu luyến."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,75,"""Cuộc sống là không ngừng đòi hỏi chứ không phải là cam chịu và chấp nhận."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,76,"""Trên đời này không có người chúng ta yêu nhất mà chỉ có người chúng ta yêu nhất trong một khoảng thời gian nào đó mà thôi."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,77,"""Trên đời này thật sự có duyên phận cũng có nghiệt duyên."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,78,"""Có những người xuất hiện để làm nhau hạnh phúc còn có những người xuất hiện chỉ để làm tổn thương người còn lại."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,79,"""Cơ thể chúng ta mệt mỏi quá độ thì khuỵu ngã, còn chúng ta đi đến giới hạn thì tự khắc buông tay."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,80,"""Phụ nữ đôi khi không cần vạn người mê chỉ cần một người thương, không cần trăm người hiểu chỉ cần một người yêu."""
Huyền Trang Bất Hối,Phụ Nữ Vạn Người Mê,81,"""Phụ nữ vạn người mê, xinh đẹp để làm gì, tài giỏi có nghĩa chi, chẳng phải chỉ để có thể tùy ý lựa chọn người đàn ông cho đời mình đó hay sao."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,82,"""Có người nói, người sống trong gia đình đơn thân tâm lý luôn có gì đó bất thường, tôi chỉ đang cố gắng để trở thành một người bình thường thôi, không được sao?"""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,83,"""Đứa con trong gia đình đơn thân luôn giỏi che giấu."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,84,"""Chỉ khi mạnh mẽ tôi mới có thể bảo vệ mẹ."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,85,"""Có rất nhiều thứ không phải bạn không mua nổi, mà là bạn không dùng nổi."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,86,"""Nguồn gốc của đau khổ không bắt nguồn từ điều kiện khách quan mà từ những bất mãn trong lòng mỗi người."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,87,"""Khi bạn đủ tài giỏi, mọi thứ bạn muốn đều chủ động chạy về phía bạn."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,88,"Chuyện đau khổ nhất không phải thất bại, mà là: “Tôi vốn có thể”."
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,89,"""Già là lý do để các bạn ỷ lại, muốn trốn chạy, muốn vứt bỏ."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,90,"""Dù bao nhiêu tuổi, tôi cũng đều nỗ lực, bởi tôi muốn trở thành phiên bản tốt nhất của bản thân."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,91,"""The best time to plant a tree was 20 years ago. The second best time is today."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,92,"""EQ chính là một phần của tài hoa."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,93,"""Công ty hoạt động không vì lợi nhuận là công ty vô đạo đức."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,94,"""Ông chủ tốt nói chuyện với nhân viên về lợi nhuận. Ông chủ tồi hoàn toàn không nói chuyện về lợi nhuận, chỉ nói về ước mơ."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,95,"""Một công ty, sản phẩm không làm tốt, tính chuyên nghiệp căn bản chưa được thiết lập, thì không nên nói đến văn hóa doanh nghiệp."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,96,"""Sau khi thành công bạn mới có thể nói về nỗi vất vả của mình. Lúc chưa thành công, bạn nên im lặng."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,97,"""Khẳng định đối phương trước, sau đó mới nói lên quan điểm của mình."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,98,"""Trao chủ đề nói chuyện cho đối phương, để đối phương có chút quyền và không gian biểu đạt."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,99,"""Lúc khen người khác, không nên khen chung chung, phải khen cụ thể chi tiết."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,100,"""Bạn có thể chê cười bạn mình. Nhưng không thể chê cười sở thích, đặc biệt là thần tượng của họ."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,101,"""Nhiều người hay kêu than mình không nhớ nổi tên người khác. Thật ra không phải bạn không nhớ, chẳng qua bạn cho rằng việc này không quan trọng mà thôi."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,102,"""Những câu nói lúc giận dữ không chỉ gây tổn hại đến đối phương, mà còn có tính hủy diệt."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,103,"""Trêu chọc và xúc phạm, hài hước và nói kháy, thẳng thắn và vô duyên là hai chuyện hoàn toàn khác nhau."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,104,"""Tôi nói đã đủ rõ ràng chưa?"""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,105,"""Trong các cuộc nói chuyện đừng quá hiếu thắng, bạn thắng về đạo lý, nhưng sẽ thua ở mặt tình cảm."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,106,"""Lúc hưởng vinh quang, nên nhắc đến người khác. Lúc phải chịu trách nhiệm, đừng quên nhắc đến bản thân mình."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,107,"""Chỉ có kẻ kém cỏi mới dùng hoàn cảnh khốn khổ của mình để kiếm tìm sự đồng tình của người khác."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,108,"""Đừng ngại từ chối người khác, dù sao người không ngại làm phiền bạn cũng chẳng phải là người tốt."""
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,109,“Kì tích cũng chỉ là một cái tên khác của nỗ lực.”
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,110,"“Thời gian không thay đổi tất cả, người có thể thay đổi tất cả chỉ có chính bạn.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,111,"“Kẻ yếu chỉ thích viện cớ, kẻ mạnh lại thích khiêm nhường.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,112,"“Mục tiêu sai, nỗ lực của bạn chẳng qua cũng chỉ là kiên trì làm sai.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,113,"“IQ quyết định thực lực tối thiểu của bạn, EQ quyết định thực lực tối đa của bạn.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,114,“Tôi có thể nhưng không có nghĩa là tôi phải.”
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,115,"“Làm việc mình thích, chưa chắc sẽ thành công, nhưng nhất định sẽ hạnh phúc.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,116,"“Trong cuộc sống, ai rồi cũng gặp phải vài tên khốn, đúng không? Đối phó với những kẻ như vậy, cách tốt nhất là gì? Là làm cho bản thân mình trở nên tốt hơn.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,117,"“Hóa ra, lờ đi mới là sự trả thù tàn nhẫn nhất.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,118,“Bạn phải nỗ lực rất nhiều mới đạt được thành công mà người khác cho rằng bạn không cần tốn sức.”
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,119,"“Bánh bao: những người ngốc nghếch, yếu đuối bị bắt nạt cũng không đánh trả.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,120,"“Sài Hỏa Nựu: những cô gái tự do phóng khoáng, theo đuổi người mình thích.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,121,“Có một số tình cảm chỉ xuất hiện trong một giai đoạn của cuộc đời.”
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,122,"“Điều kỳ lạ là, nếu chúng ta giẫm lên gót chân hay chắn đường người khác, chúng ta có thể dễ dàng nói xin lỗi. Vậy mà khi thật sự làm tổn thương người khác, lời xin lỗi lại khó nói ra đến vậy.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,123,"“Thế giới này, chỉ cần bạn dám làm, không thể cũng thành có thể. Nhưng nếu bạn hèn nhát, chuyện có thể cũng có thể trở thành không thể mà thôi.”"
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,124,“Tình yêu có thể phản ánh sự sáng suốt tối đa và phẩm hạnh tối thiểu của một con người.”
Mễ Mông,Sống Thực Tế Giữa Đời Thực Dụng,125,"“Yêu đúng là tình yêu, yêu lầm là tuổi trẻ.”"
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,126,"""Cô độc là khoảng thời gian tốt nhất để nâng cao giá trị bản thân."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,127,"""Con người mà ngay cả ham muốn cũng không có, thì tất nhiên không có tham vọng, thứ còn lại chỉ là sự thoải mái, ở lâu trong vùng thoải mái, con người coi như đã hỏng hẳn rồi."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,128,"""Chính tâm thái đã giam giữ con người trong vùng thoải mái mà không có cách nào thoát ra được."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,129,"""Tuổi trẻ phải có tham vọng, và phải nỗ lực."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,130,"""Điều thực sự có thể quyết định hành vi của một cá nhân chính là mục tiêu mà cá nhân đó hướng tới, muốn thay đổi bản thân thì phải nhận thức rõ mục tiêu của bản thân. Sau khi đã chỉnh sửa mục tiêu cho chuẩn xác, bạn có thể giống như người bắn cung, kéo căng thân thể và tinh thần, hướng toàn bộ hành vi vào phục vụ mục tiêu của mình."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,131,"Tham vọng của con người cần dùng hành động để biến thành hiện thực."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,132,"""Câu cửa miệng chính là thứ quyết định ý thức và tư duy của bạn, nó có thể quyết định cả cuộc đời bạn."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,133,"""Những gì bạn nói can thiệp vào tiềm thức của bạn, tiềm thức quyết định tâm thái của bạn, tâm thái lại định hình tính cách, và tính cách sẽ thay đổi vận mệnh của bạn."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,134,"""Bạn muốn trở thành người như thế nào, hãy thay đổi bắt đầu từ thói quen nói của mình."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,135,"""Thật đáng tiếc khi chúng ta quên rằng nhiều điều tốt đẹp trong thế giới này bắt nguồn từ sự kiên trì."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,136,"""Bạn sống một ngày như thế nào thì nhất định sẽ sống một năm như thế ấy, và nó cũng ám thị bạn sẽ sống một đời ra sao."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,137,"""Điều kinh khủng nhất đối với con người không phải là gặp bóng tối, mà là sau khi nhìn thấy bóng tối, người ta đã không còn tin vào ánh sáng nữa."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,138,"""Cái gọi là năng lượng tích cực chính là sau khi chứng kiến sự đau khổ trên thế giới, bạn vẫn tin vào những quyết tâm tốt đẹp."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,139,"""Khi càng mệt mỏi, bạn càng nên dùng một số phương thức mạnh mẽ để đưa bản thân trở lại trạng thái bình thường."""
Lý Thượng Long,Không Nỗ Lực Đừng Tham Vọng,140,"""Tất cả nỗ lực kiên trì chỉ là để đến được vạch đích, chỉ có những giọt nước mắt sau khi đến đích mới có ý nghĩa."""
